Titolo	Location	Tipologia del luogo	Tipologia dello Spazio	Temporalità dello Spazio	Definizione dello spazio	Note sullo spazio	Interpretazione	osm_id	lat_long	Note
Sirene	Nuova Baja California	mare, interno	Aperto > Urbano > Città; Aperto > Naturale > Acquatico > Mare	Futuro	Spazio fittizio	Nuova Baja California è il luogo in cui è ambientato il romanzo, ma è solo nominato e non ha alcun ruolo per la narrazione: essa, che si svolge in luoghi sotterranei, potrebbe avvenire ovunque.	Menzione esplicita		38.7200, -24.2200	ok
L'ubicazione del bene	Milano	città	Aperto > Urbano > Città	Presente	Spazio reale dal nome fittizio	Cortesforza è un luogo (o un non-luogo) inventato dall'autore che però si trova nell'hinterland milanese, come esplicitato nello stesso romanzo.	Menzione esplicita	44915	45.4641943,9.1896346	ok
Bambini bonsai	Genova	città, interno	Aperto > Urbano > Città	Futuro	Spazio reale	Resa irriconoscibile dalla catastrofe ecologica e sociale, Genova è cresciuta a dismisura e senza controllo, inglobando e ricostruendosi sui propri resti, schiacciata tra le montagne desertiche e il mare deprivato di ogni risorsa vitale. Ma allo stesso tempo, trasfigurata dalla fantasia immaginifica e dalla prospettiva infantile di Pepe, la città è anche un luogo meraviglioso e ricco di possibilità.	Menzione esplicita	44875	44.4072600,8.9338624	
Cinacittà	Roma	città	Aperto > Urbano > Città	Futuro	Spazio reale	Viene rappresentata una Roma apocalittica, popolata solo di cittadini cinesi, mentre i romani hanno dovuto migrare verso Nord a causa delle alte temperature.		41485	41.8933203,12.4829321	ok
Il viaggio dell'orsa										
Violazione	Bologna	città, campagna, montagna	Aperto > Urbano > Città; Aperto > Naturale > Rurale > Campagna	Presente	Spazio reale	Bologna suscita sentimenti conflittuali: la casa d’infanzia di Linda, in un edificio medievale con cortile e un albero di fico abbattuto per volere dell’ufficio bancario che vi si insedia, diventa simbolo di un ambiente urbano che un tempo aveva potuto essere anche bello, accogliente e a misura d’uomo, ma i cui equilibri stanno rapidamente degenerando, trasformandosi in un contesto sempre meno vivibile. Per contro, la campagna e i boschi fuori città sono visti attraverso due lenti opposte: nella prospettiva di Primo, volta al profitto e allo sfruttamento, essi sono concepiti unicamente in termini di occasioni di speculazione e guadagno, mentre per i Donelli sono luoghi da apprezzare per la loro bellezza e da proteggere in un’ottica di sostenibilità ecologica.	Menzione esplicita	43172	44.4938203,11.3426327	
Violazione	Bucarest	città		Presente	Spazio reale	Città dove Jon, ragazzo moldavo, è ospitato a casa degli zii mentre sostiene gli studi universitari alla Facoltà di Agraria. Intuendo la sua insoddisfazione, la madre gli propone di raggiungerla illegalmente in Italia, dove lei lavora presso la famiglia di Primo Draghi come badante della figlia disabile.	Menzione esplicita	377733	44.42632426875143, 26.0954290287666	(controlla)
Isolatria	Arcipelago de La Maddalena	mare, isola	Aperto > Naturale > Acquatico > Mare	Presente	Spazio reale	La Maddalena e la Sardegna sono al centro della narrazione in quanto isole in mezzo al mare e dunque in una posizione ontologicamente resistente rispetto alle narrazioni e alla cultura dominanti.	Menzione esplicita	7454306	41.2127826,9.4066598	ok
La vita in tempo di pace	Sharm El Sheikh	interno, mare	Aperto > Naturale > Acquatico > Mare	Presente	Spazio reale	L'aeroporto di Sharm el Sheik è il non-luogo da cui parte la narrazione: il protagonista prenderà lì un aereo per tornare in Italia.	Menzione esplicita	872858698	25.4688226,56.3433687	ok
La vita in tempo di pace	Milano	città	Aperto > Urbano > Città	Presente	Spazio reale dal nome fittizio	La Città del Nord è inconfondibilmente Milano, sede della multinazionale per cui lavora il protagonista.	Deduzione dalla descrizione del luogo	44915	45.4641943,9.1896346	ok
La vita in tempo di pace	Mar Egeo	mare	Aperto > Naturale > Acquatico > Mare	Presente	Spazio reale dal nome fittizio	Capo Atreide, Lago di Kalamia e altri toponimi sono inventati ma facilmente riconducibili a luoghi che costeggiano il Mar Egeo, che invece è menzionato esplicitamente, o si trovano a ridosso della costa.	Deduzione dalla descrizione del luogo	4594226	38.0622276,25.7205887	ok
La vita in tempo di pace	Atene	città	Aperto > Urbano > Città	Presente	Spazio reale	Atene è un luogo in cui il protagonista si trova per poco tempo, che non viene grandemente descritto se non per permettere al protagonista di rievocare un viaggio passato.		441183	37.9755648,23.7348324	
La vita in tempo di pace	Roma	città	Aperto > Urbano > Città	Presente	Spazio reale dal nome fittizio	La città di Dio è il nome che l'autore dà a Roma, facilmente riconoscibile grazie a indicatori urbanistico-architettonici e sociali.	Deduzione dalla descrizione del luogo	41485	41.8933203,12.4829321	ok
La vita in tempo di pace	Latina? Formia?	città		Presente	Spazio reale dal nome fittizio	La città di Mare è probabilmente Napoli anche se, rispetto alle Città del Nord e di Dio, è meno evidente, ma l'identificazione è possibile tramite il riferimento ad altri luoghi (come Palmarola e Ponza)	Deduzione dalla descrizione del luogo			
La lucina	Nessuna geografia esplicita	montagna	Aperto > Naturale > Rilievo > Montagna	Presente	Spazio fittizio	Non vi è nessuna geografia esplicita, solo un borgo in montagna non meglio identificato, in cui il protagonista, anch'egli senza nome, si rifugia per sparire.	Deduzione dalla descrizione del luogo		38.7200, -24.2200	
Condominio oltremare	Lidi Ferraresi	mare, città	Aperto > Naturale > Acquatico > Mare; Aperto > Urbano > Città	Presente	Spazio reale	I sette Lidi Ferraresi (o Lidi di Comacchio) di cui fa parte il Lido delle Nazioni sono spesso menzionati, o con il loro nome collettivo o presi singolarmente, a paragone con il Lido delle Nazioni, centro della narrazione.	Menzione esplicita	0	44.699473524843,12.232820983218597	ok
Condominio oltremare	Lido delle Nazioni a Comacchio	mare, città	Aperto > Naturale > Acquatico > Mare; Aperto > Urbano > Città	Presente	Spazio reale	Il Lido delle Nazioni a Comacchio e il lago artificiale omonimo sono luoghi di villeggiatura, al centro della narrazione e emblemi dell'alterazione dell'ambiente causato dall'edilizia massiccia.	Menzione esplicita	23012260	44.7419903,12.2444735	ok
Anna	Trapani	città		Presente	Spazio reale	Luogo di nascita del cane maremmano Coccolone (prima Salame e Manson), nel cortile di uno sfasciacarrozze alla periferia di Trapani.	Menzione esplicita	39404	38.0173961,12.5160225	
Anna	Palermo	città	Aperto > Naturale > Rurale > Campagna; Aperto > Urbano > Città; Aperto > Naturale > Acquatico > Mare	Futuro Prossimo	Spazio reale	Luogo di nascita di Anna. Nel viaggio verso Messina, il gruppetto guidato da Anna attraversa la città abbandonata, devastata dai saccheggi e dai segni dalla violenza dilagata nelle ultime fasi dell’epidemia; anche la natura sembra faticare a riappropriarsi del luogo, come se questo fosse stato irrimediabilmente infettato dal dolore di cui è stato palcoscenico. Anna ne approfitta per visitare per l’ultima volta la casa del padre e vi ritrova una vecchia lettera d’amore della madre, inaspettato cimelio.	Menzione esplicita	39513	38.1112268,13.3524434	
Anna	Castellammare del Golfo	campagna, paese, costa, interno	Aperto > Naturale > Rurale > Campagna; Aperto > Urbano > Città; Aperto > Naturale > Acquatico > Mare	Futuro Prossimo	Spazio reale	A Castellammare, il villaggio residenziale di Torre Normanna (nome fittizio che si riferisce probabilmente al Castello Arabo Normanno di Castellammare) è il centro abitato più vicino al Podere del Gelso, il casale nascosto in mezzo a un boschetto di querce dove vivono Anna e il fratello Astor. Ormai saccheggiato e in rovina, è meta frequente di vagabondaggi affettivi o delle incursioni alla ricerca di cibo o medicinali.	Menzione esplicita, Deduzione dalla descrizione del luogo	39466	38.026389,12.880556	
Anna	Buseto Palizzolo	paese		Futuro Prossimo	Spazio reale	Paese dove si trova il Despar dei fratelli Michelini, dove Anna si reca per trovare gli antibiotici per il fratello e incontra per la prima volta il gruppo dei bambini seguaci della Picciridduna.	Menzione esplicita	39441	38.012506,12.7115858	
Anna	Terme Segestane	collina, bosco, campagna		Futuro Prossimo	Spazio fittizio	La collocazione è ricostruita in base al riferimento testuale al Grand Hotel Terme Elise, residenza della Picirridduna dove la banda di ragazzini porta il fratello di Anna dopo averlo rapito: un luogo finzionale ma verosimile nei pressi dell’area termale, in una zona collinare vicina a Castellammare.	Deduzione dalla descrizione del luogo		37.97073327705166, 12.892593304415549	
Anna	Cefalù	mare, costa, paese	Aperto > Naturale > Rurale > Campagna; Aperto > Urbano > Città; Aperto > Naturale > Acquatico > Mare	Futuro Prossimo	Spazio reale	Nel paese deserto ma che sembra essere stato risparmiato dai saccheggi e dagli atti vandalici più evidenti, Anna, Astor, Pietro e il cane Coccolone fanno una lunga sosta nel loro viaggio verso lo stretto di Messina. Luogo dell’incidente con il sidecar.	Menzione esplicita	39444	38.0349570,14.0244562	
Anna	Vita	paese		Futuro Prossimo	Spazio reale	Paese natale di Pietro.	Menzione esplicita	39394	37.8685749,12.8144792	
Anna	Messina	città, mare	Aperto > Naturale > Rurale > Campagna; Aperto > Urbano > Città; Aperto > Naturale > Acquatico > Mare	Futuro Prossimo	Spazio reale	Benché anch’essa abbandonata e recante le tracce disordinate e residuali della vita precedente, Messina è una rovina meno angosciante di Palermo dove piante e animali si stanno riappropriando lentamente dello spazio urbano. Dal porto, Anna, Astor e il cane attraversano lo stretto di Messina a bordo di un pedalò.	Menzione esplicita	39514	38.1937571,15.5542082	
Cade la terra	Italia meridionale	paese	Aperto > Urbano > Paese			Alento (inventato)		17514288	40.4053173,15.9328381	
Le cose semplici	Parigi	città	Aperto > Urbano > Città					71525	48.8534951,2.3483915	
Le cose semplici	New York	città	Aperto > Urbano > Città					175905	40.7127281,-74.0060152	
Le cose semplici	Long Island	città	Aperto > Urbano > Città					3955977	40.8514970,-73.0994297	
Le cose semplici	Milano	città	Aperto > Urbano > Città					44915	45.4641943,9.1896346	
Qualcosa, là fuori	Napoli	città		Futuro Prossimo	Spazio reale	Città natale di Livio, in cui torna nel 2056 con la compagna Leila e il figlio Matías dopo un lungo periodo di vita in America. Da Napoli, sedici anni dopo la morte di Leila e Matías, Livio parte nel suo viaggio per il nord Europa. Il tracollo climatico e sociale italiano è raccontato dunque attraverso la specola della città partenopea, di cui viene descritta la tropicalizzazione, il progressivo cambiamento demografico a maggioranza araba e la radicalizzazione religiosa, il disgregarsi di ogni struttura sociale, sanitaria e statale fino alla completa presa di controllo da parte della criminalità.	Menzione esplicita	40767	40.8358846,14.2487679	
Qualcosa, là fuori	San Francisco	città		Futuro Prossimo	Spazio reale	Città dove si trasferiscono Livio e la compagna Leila nel 2068, per lavorare all’Università di Stanford. Sebbene non sia esente da tensioni sociali dovute alla presenza maggioritaria della popolazione ispanica (a sud, nel frattempo, la Grande Barriera blocca completamente i collegamenti con il Messico e il centro America) e a problemi derivanti da severe restrizioni idriche e dall’innalzamento del livello del mare, San Francisco rappresenta negli anni successivi un’oasi di relativa stabilità e sicurezza, dove la coppia e i loro amici riescono a mantenere un buono stile di vita simile a quello occidentale attuale e da cui assistono però al progressivo deterioramento – climatico e sociale – del resto del mondo.	Menzione esplicita	111968	37.7792588,-122.4193286	
Qualcosa, là fuori	Chignolo	paese		Futuro Prossimo	Spazio reale	Primo riferimento geografico del romanzo, da cui il lettore comincia a seguire il viaggio di Livio e del gruppo di migranti con cui cerca di raggiungere la Scandinavia, guidati dalle guide della Transhope. La pianura è arida, grigia e polverosa, e reca solo segni di violenza e abbandono.	Menzione esplicita	845681277	45.8492096,9.5099311	
Qualcosa, là fuori	Lodi	campagna		Futuro Prossimo	Spazio reale	Prima tappa rappresentata del viaggio della colonna di migranti, in prossimità della città abbandonata di cui si intravede solo il profilo fumante, circondato da capannoni e cascine disfatti.	Menzione esplicita	44181	45.2613104,9.4916781	
Qualcosa, là fuori	Milano	città		Futuro Prossimo	Spazio reale	Attraversando Milano, il gruppo incontra i primi segni evidenti di violenza sociale, con raffiche di mitra e cadaveri esposti in viale Argonne e piazzale Susa, a est della città. Dopo il capoluogo lombardo, altre cittadine si susseguono nello spostamento attraverso la Brianza e verso il lago di Como.	Menzione esplicita	44915	45.4641943,9.1896346	
Qualcosa, là fuori	San Giorgio	campagna		Futuro Prossimo	Spazio reale	Ulteriore tappa del gruppo sulle sponde del lago di Como, da cui le macchine idrovore della Transhope attingono le ultime, scarse riserve d’acqua per dissetare i migranti. Da qui, una piccola delegazione, tra cui Livio, parte per negoziare con gli svizzeri il passaggio della colonna. Grazie ad una ferrea e spietata organizzazione delle risorse, la Svizzera mantiene ancora un certo ordine sociale che include la presenza di un sorvegliatissimo corridoio umanitario fino alla Germania.	Menzione esplicita, Deduzione dalla descrizione del luogo	432466508	46.0567789,8.9416915	
Qualcosa, là fuori	Sufnersee	montagna, lago		Futuro Prossimo	Spazio reale	Durante la traversata della Svizzera, il gruppo si trova a contemplare il bacino profondo e vuoto del lago, dove avevano sperato di rimpinguare le scorte idriche.	Menzione esplicita	6004624	46.5671131,9.3712286	
Qualcosa, là fuori	Kriessern	montagna		Futuro Prossimo	Spazio reale	Tappa finale della traversata svizzera, ultima tratta relativamente sicura del viaggio: dopo di essa, si aprono le distese, ora paludose ora riarse, dell’Austria e della Germania.	Menzione esplicita	1884082999	47.3653317,9.6071943	
Qualcosa, là fuori	Bregenz	montagna, lago		Futuro Prossimo	Spazio reale	Nelle vicinanze del lago di Costanza, pressoché prosciugato, per la prima volta il gruppo viene coinvolto in un violento scontro a fuoco per arrivare all’acqua.	Menzione esplicita	75073	47.5025779,9.7472924	
Qualcosa, là fuori	Stockenweiler Weiher	lago, campagna, pianura		Futuro Prossimo	Spazio reale	Tappa successiva allo scontro: sulle rive di quella che un tempo era un’area ricca d’acqua ed è ridotta ora ad una distesa di sabbia, argilla e scheletri animali, le macchine idrovore trovano inaspettatamente una falda acquifera, concedendo un momentaneo respiro al gruppo stremato.	Menzione esplicita	1111613982	47.6252173,9.7883046	
Qualcosa, là fuori	Ulm	pianura		Futuro Prossimo	Spazio reale	Prosegue il viaggio della colonna nel clima torrido, attraverso un vasto territorio costellato di macerie industriali e segnali ammonitori da parte di comunità asserragliate nei dintorni, con cui il gruppo non ha contatti.	Menzione esplicita	62495	48.3984968,9.9912458	
Qualcosa, là fuori	Elchingen	pianura, fiume		Futuro Prossimo	Spazio reale	Superato il greto prosciugato del Danubio, la colonna dei migranti si ferma in un complesso industriale in rovina, dove viene coinvolta da un violento scontro a fuoco orchestrato da un gruppo di predoni. Riescono a prevalere, ma centinaia di feriti vengono uccisi prima di ripartire. Nei giorni successivi, dozzine di migranti cedono al caldo intollerabile, di cui vengono descritti gli effetti sul corpo umano.	Menzione esplicita	941078	48.4525086,10.0842004	
Qualcosa, là fuori	Würzburg	pianura, città, fiume		Futuro Prossimo	Spazio reale	Descrizione di uno dei pochi centri urbani attraversati dal gruppo: sulle rive asciutte del Meno, la città è spettrale, disseminata di cadaveri, rifiuti e macerie di edifici abbandonati. I giorni seguenti, i migranti proseguono verso nord, toccando diverse città che vengono solo nominate: Werneck, Schweinfurt, Münnerstadt, Sondheim, Erbenhausen, Walldorf, Immelborn, Hildesheim.	Menzione esplicita	62464	49.7780356,9.9434769	
Qualcosa, là fuori	Hannover	pianura		Futuro Prossimo	Spazio reale	Arrivati in prossimità della pianura costiera, il caldo torrido viene spezzato saltuariamente da violente piogge, che evaporano nell’aria prima ancora di toccare terra. Ritrovano i primi sparuti alberi (palme) e poverissime baraccopoli alle porte della città.	Menzione esplicita	59418	52.3744779,9.7385532	
Qualcosa, là fuori	Celle	pianura, fiume		Futuro Prossimo	Spazio reale	La temperatura si fa più sostenibile, arrivando in zone asciutte mentre transita il gruppo, ma in cui ci sono segni di piene fluviali stagionali. Incontrano segni di attività agricola e saltuarie, brevi piogge.	Menzione esplicita	1797918	52.6240560,10.0810520	
Qualcosa, là fuori	Bergen-Belsen	pianura		Futuro Prossimo	Spazio reale	Passando accanto alle indicazioni per il memoriale del campo di concentramento, Livio sceglie di non rivelare la natura di quel luogo al ragazzino Miguel, ritenendo che abbia fin troppa familiarità con l’orrore. Nella successiva tappa nei pressi di Münster, solo nominata, Livio rivela a Marta la storia della propria famiglia deceduta.	Menzione esplicita	2707989157	48.8601371,2.4001275	
Qualcosa, là fuori	Wilseder Berg	collina		Futuro Prossimo	Spazio reale	In corrispondenza della collina, il gruppo si rende conto che il livello del mare si è alzato e che l’acqua salata ha risalito l’Elba sommergendo Amburgo, di cui rimangono solo le guglie all’orizzonte.	Menzione esplicita	742231390	53.1678028,9.9390268	
Qualcosa, là fuori	Radbruch	fiume, pianura		Futuro Prossimo	Spazio reale	Nel tentativo di superare l’Elba, arrivano ai resti della cittadina tedesca, ora sommersa e invasa dalle mangrovie.	Menzione esplicita	1392132	53.3115360,10.2844007	
Qualcosa, là fuori	Bleckede	pianura, fiume		Futuro Prossimo	Spazio reale	Le guide si impossessano con la violenza del traghetto sul fiume per far passare quel che resta del gruppo; il clima è ora tropicale e paludoso, l’aria è pesante e infestata dagli insetti. Viene annunciato che d’ora in poi si entra effettivamente in clandestinità poiché stanno per passare il confine del protettorato di Scandinavia, il cui accesso è proibito ai profughi.	Menzione esplicita	1837837	53.2933058,10.7299955	
Qualcosa, là fuori	Ratzeburger See	pianura, costa, lago		Futuro Prossimo	Spazio reale	Il gruppo raggiunge il limitare del mare, risalito nell’entroterra per chilometri; viaggiano di nascosto, di notte, ma si vedono segni di piccole comunità che sembrano riuscire a sopravvivere, adattando attività agricole al territorio caldo e acquitrinoso, infestato dalle mangrovie.	Menzione esplicita	1430457446	53.7809661,10.7657969	
Qualcosa, là fuori	Teschow	costa, mare, interno		Futuro Prossimo	Spazio reale	I migranti si trovano alla periferia di un attacco della polizia di frontiera, dopo il quale due donne si uniscono al gruppetto di Livio. Il gruppo raggiunge la sede nordica della Transhope da cui dovrebbero tentare l’attraversamento del Baltico fino alla Scandinavia; le guide impongono però un’ulteriore quota che deve pagare i migranti o qualcuno per loro in Scandinavia: chi non può permetterlo viene rinchiuso in cella, e tra questi ci sono Livio, Marta, Sara e Miguel.	Menzione esplicita	260059096	53.7874656,12.6297233	
Qualcosa, là fuori	Kåseberga	pianura, mare, costa, interno	Aperto > Naturale > Irriguo > Pianura; Aperto > Naturale > Rilievo > Montagna; Aperto > Naturale > Acquatico > Mare	Futuro Prossimo	Spazio reale	Luogo della costa svedese dove approda fortunosamente il gommone di Livio, Marta, Sara, Miguel e le altre poche donne del gruppo, dopo la fuga dalla prigione della Transhope. Qui il gruppo viene preso in custodia dalla polizia svedese, in attesa di verificarne il legittimo status di rifugiati.	Menzione esplicita	27805208	55.3870958,14.0656814	
Le otto montagne	Milano	città	Aperto > Naturale > Rilievo > Montagna	Presente	Spazio reale	All’inizio degli anni Settanta, quando vi si trasferiscono dalla campagna veneta i genitori del protagonista, Milano è una città in piena espansione che offre lavoro a patto di accettarne la dimensione disumanizzante, aggressiva, inquinata, trafficata e sporca. Nei decenni seguenti diventa sempre più invasa dallo smog e dalla frenesia edilizia, che ne fanno una città arrivista e rabbiosa.	Menzione esplicita	44915	45.4641943,9.1896346	
Le otto montagne	Grana 	montagna, paese, bosco, fiume	Aperto > Naturale > Rilievo > Montagna	Presente	Spazio reale dal nome fittizio	Nome fittizio di Graines, paese della Valle d’Aosta dove la famiglia di Pietro affitta una casa per l’estate. Luogo amato nell’infanzia e nell’adolescenza e poi rabbiosamente trascurato per quindici anni, Grana rimane un luogo profondamente identitario per Pietro. In quota rispetto al paese, Pietro e Bruno costruiscono la baita che, per Pietro, segna la riscoperta di uno stile di vita che gli assomigli davvero, e attorno alla quale negli anni successivi ruoteranno a fasi alterne le vite dei due amici.	Deduzione dalla biografia dell’autore		45.74411573116435, 7.757988549399935	
Le otto montagne	Katmandu	montagna, città	Aperto > Naturale > Rilievo > Montagna	Presente	Spazio reale	Città di riferimento durante i lunghi soggiorni di Pietro in Nepal. Città affollata, sporchissima e con profonde sacche di povertà, è dove Pietro trascorre solitamente la stagione dei monsoni e porta avanti le proprie attività di collaborazione con varie organizzazioni non governative che operano nel sociale.	Menzione esplicita	12394677	27.7083170,85.3205817	
Le otto montagne	Himalaya	montagna	Aperto > Naturale > Rilievo > Montagna	Presente	Spazio reale	Luogo allo stesso tempo antico e presente, in cui la civiltà di montagna è ancora viva. Oltre all’Himalaya, Pietro visiterà, lavorando come produttore di documentari, varie parti del Nepal.	Menzione esplicita	3791305957	27.9856880,86.9163367	
Le otto montagne	Torino	città		Presente	Spazio reale	Città dove si trasferisce Pietro dopo aver lasciato l’università e la casa paterna. A differenza dell’alienante Milano, Torino appare al protagonista una città più umana e vivibile, di cui gli piacciono i vecchi caffè, il fiume, la scuola di cinema, la vista delle montagne vicine.	Menzione esplicita	43992	45.0677551,7.6824892	
Artico nero. La lunga notte dei popoli dei ghiacci	Tarko-Sale (Jamalia)	pianura, bosco	Aperto > Naturale > Acquatico > Mare	Presente	Spazio reale	A partire da un caso di epidemia di antrace in una comunità nenet nel 2016, causata dal riaffiorare di una renna morta decenni prima, Meschiari discute i pericoli del disgelo e del risveglio di agenti patogeni rimasti silenti per decenni o addirittura millenni. Il luogo è evocato nella sua alterità attraverso l'evocazione di sequenze cinematografiche immaginarie, mescolando dettagli di animali, persone e paesaggi con prospettive e motivi del nostro immaginario culturale (b-movies, narrazioni post-apocalittiche). Gli spazi (soprattutto quello della tundra) sono evocati attraverso i numerosi microracconti sul genocidio culturale dei Nenet, obbligati a trasformarsi da popolazione nomade di pastori e raccoglitrici in comunità contadina, o forzatamente dispersi nelle città operaie russe.	Menzione esplicita	 	64.91627737425983, 77.77422013649588	
Artico nero. La lunga notte dei popoli dei ghiacci	Shishmaref (Alaska)	mare, pianura, costa	Aperto > Naturale > Acquatico > Mare	Presente	Spazio reale	Lungi dall’essere una speculazione distopica, l’apocalisse è già arrivata per il villaggio di Shishmaref, dove l’innalzamento del livello del mare nel corso degli anni ha sciolto la terra sotto le case, allagato le piste di caccia e bruciato la brughiera con il sale, costringendo la comunità nativa a migrare verso altre aree.	Menzione esplicita	16770771	66.2564127,-166.06293	
Artico nero. La lunga notte dei popoli dei ghiacci	Newtok (Alaska)	pianura, mare, costa		Presente	Spazio reale	Sulla scia di Shishmaref, anche Newtok sta subendo la stessa sorte: un paesaggio di acquitrini e torbiere, di sabbia che si impregna d’acqua e si disperde, innalzamento del livello del mare, scioglimento del permafrost e del ghiaccio marino, scomparsa dei pascoli, in un capitolo intensamente descrittivo. Il racconto di questo luogo porta in primo piano il tema della migrazione climatica e ribadisce come l’artico sia una specola privilegiata per constatare, in anteprima rispetto agli spazi con cui abbiamo più familiarità, gli effetti del surriscaldamento globale.	Menzione esplicita	16770786	60.935154499999996,-164.63737083970233	
Artico nero. La lunga notte dei popoli dei ghiacci	Alta (Norvegia)	montagna, bosco, costa		Passato	Spazio reale	Il libro considera la popolazione Sami, comunità di cacciatori-raccoglitori distribuite su un territorio storicamente denominato Lapponia. Fiordi, coste, boschi e montagne emergono dal racconto di incontri-scontri nel corso dei decenni e delle pratiche di caccia e allevamento. L'alternarsi della narrazione in prima e terza persona permette una rappresentazione degli spazi ora oggettiva, ora carica di una forte dimensione affettiva. Questo vale sia per gli spazi esterni che per quelli interni: particolarmente interessante il racconto della struttura del kote, la tenda estiva dei sami, che racchiude e materializza il sofisticato sistema di valori che modella la loro visione del mondo. Eliminare questi spazi domestici e obbligare i Sami a vivere in case alla europea significa quindi smantellarne il modo stesso di stare al mondo.	Menzione esplicita	406659	69.9666046,23.2733282	
Artico nero. La lunga notte dei popoli dei ghiacci	Lago Ennadai (Canada)	bosco, lago	Aperto > Naturale > Acquatico > Mare	Passato	Spazio reale	Da qui, negli anni Cinquanta vengono convinti e/o obbligati ad andarsene gli Ahiarmiut, ricollocati ad Arviat. Meschiari descrive il genocidio culturale in atto attraverso la sedentarizzazione forzata di popolazioni di cacciatori dipendenti dall'economia del caribù. Lo spazio è costruito attraverso l'evocazione delle abitazioni tradizionali (igloo) contrapposte alle città canadesi, dei kayak, delle slitte. Torna spesso nel racconto il rapporto di interdipendenza tra paesaggio e spazio domestico proprio delle comunità nomadi (vedi anche Alta e Pituffik).	Menzione esplicita	17456236	60.912416300000004,-101.17022385353053	
Artico nero. La lunga notte dei popoli dei ghiacci	Ust-Yansk	fiume, pianura, lago	Aperto > Naturale > Acquatico > Mare	Presente	Spazio reale	Terra di laghi e paludi, costellata da case popolari e fabbriche in cemento, è la regione natale del ragazzo protagonista del racconto, da cui parte (e in cui ritorna, circolarmente) nel viaggio che lo porta a nord, verso la costa e verso Yukagir.	Menzione esplicita	907921602	70.911873,136.45105	 
Artico nero. La lunga notte dei popoli dei ghiacci	Uelen (Chukotka)	pianura, costa		Presente	Spazio reale	Attraverso la desolante storia della dodicenne Irina, raccontata in prima persona da una spettrale prospettiva post-mortem, viene tracciato uno spaccato della fine e della scomparsa di una popolazione di cacciatori di balene. Il paesaggio è di prateria, erba verde, sabbia e costa, costellato dei resti abbandonati di insediamenti militari e industriali.	Menzione esplicita	215334914	66.16053,-169.817	  
Artico nero. La lunga notte dei popoli dei ghiacci	Yukagir (Jacuzia)	costa, pianura		Presente	Spazio reale	In un racconto apertamente immaginato da Meschiari sulla base di letture storiche ed etnografiche della regione (e come indicato nella sezione finale del libro), questo capitolo segue le peregrinazioni di un ragazzino che viene venduto a un cercatore d’avorio siberiano: con lo scongelamento del permafrost, carcasse millenarie di mammut tornano alla luce e vengono depredate di ciò che resta, sciogliendo i muri di terra congelata con il getto di rudimentali pompe d’acqua. Abbandonato dal suo padrone, il ragazzo riesce a sopravvivere e si crea un personale equilibrio tra il Rifugio-di-Muschio lungo la Costa-degli-Elefanti, dove vive d’estate cercando scheletri preistorici, e il villaggio di Yukagir in cui passa l’inverno. Tutto intorno si stende la tundra, una pianura brulla e secca, la costa battuta dal vento.	Menzione esplicita	12766921909	71.7764487,139.8483955	 
Artico nero. La lunga notte dei popoli dei ghiacci	Pituffik (Groenlandia)	mare, bosco, pianura, costa	Aperto > Naturale > Acquatico > Mare	Passato	Spazio reale	Racconto della ricollocazione forzata degli Inuit, che vennero obbligati a lasciare la propria terra e spostarsi a Qaannaat quando negli anni Cinquante i danesi concessero il territorio agli americani per costruire una base nucleare segreta. Anche qui è descritta la casa tipica dei Dorset, un'altra popolazione groenlandese, che riproduce la struttura di una balena, inserendola in una complessa cosmologia e visione del rapporto con l’ambiente.	Menzione esplicita	11878829	76.5333333,-68.75	
Artico nero. La lunga notte dei popoli dei ghiacci	Nuuk (Groenlandia)	città		Presente	Spazio reale	Parlando di Nuuk, viene esplorata più da vicino l’idea che la città sia innanzitutto espressione di un modo di pensare l'umano in relazione allo spazio: negli anni Settanta l'imposizione del modello cittadino in Groenlandia da parte del governo danese ha dato un ulteriore colpo di grazia alla cultura inuit (ne è testimone il fatto che, da questo periodo, il tasso di suicidi giovanili comincia a crescere al punto che oggi la Groenlandia detiene un macabro primato globale).	Menzione esplicita	992046822	64.1766835,-51.7359356	 
Artico nero. La lunga notte dei popoli dei ghiacci	Inukjuak (Canada)	bosco, costa, pianura		Passato	Spazio reale	Altra storia di ricollocazione forzata: negli anni Cinquanta, alcune famiglie inuit vengono convinte a spostarsi 2000 chilometri più a nord, separate, abbandonate a loro stesse e eradicate dal proprio territorio e dalle proprie tradizioni (comunità di inuit di terra vengono lasciate in un territorio adatto a inuit di mare) nel quadro di una strategia coloniale di rivendicazione del territorio in funzione antirussa. L'illegalità e disumanità della pratica venne riconosciuta dal governo canadese solo nel 2010 (vedi Ellesmere e Corwallis)	Menzione esplicita	9390720	58.4536824,-78.1124276	
Artico nero. La lunga notte dei popoli dei ghiacci	Corwallis, isola canadese	isola, costa, pianura		Passato	Spazio reale	Luogo di ricollocazione degli Intuit di Inukjuak. Acqua, ghiaccio, sabbia; notti e giorni artici, infiniti: al di là delle descrizioni, essenziali ma d'impatto, sono la specificità delle storie e il contrasto tra realtà e immaginario culturale ad essere evocati attraverso gli spazi menzionati dal testo.	Menzione esplicita	1281377	75.13582439999999,-94.9808396	
